Category: All categories

Day,Cuarentena: (Colombia)
2020-03-17,15
2020-03-18,20
2020-03-19,19
2020-03-20,27
2020-03-21,100
2020-03-22,51
2020-03-23,59
2020-03-24,48
2020-03-25,35
2020-03-26,29
2020-03-27,27
2020-03-28,24
2020-03-29,27
2020-03-30,33
2020-03-31,36
2020-04-01,28
2020-04-02,25
2020-04-03,23
2020-04-04,24
2020-04-05,26
2020-04-06,41
2020-04-07,36
2020-04-08,23
2020-04-09,19
2020-04-10,19
2020-04-11,18
2020-04-12,19
2020-04-13,24
2020-04-14,21
2020-04-15,18
2020-04-16,26
2020-04-17,26
2020-04-18,21
2020-04-19,23
2020-04-20,31
2020-04-21,39
2020-04-22,18
2020-04-23,17
2020-04-24,16
2020-04-25,18
2020-04-26,20
2020-04-27,24
2020-04-28,19
2020-04-29,15
2020-04-30,19
2020-05-01,16
2020-05-02,18
2020-05-03,21
2020-05-04,31
2020-05-05,50
2020-05-06,28
2020-05-07,18
2020-05-08,16
2020-05-09,18
2020-05-10,14
2020-05-11,20
2020-05-12,16
2020-05-13,15
2020-05-14,22
2020-05-15,20
2020-05-16,18
2020-05-17,18
2020-05-18,32
2020-05-19,35
2020-05-20,24
2020-05-21,14
2020-05-22,14
2020-05-23,11
2020-05-24,14
2020-05-25,16
2020-05-26,16
2020-05-27,18
2020-05-28,26
2020-05-29,30
2020-05-30,17
2020-05-31,19
2020-06-01,19
2020-06-02,14
2020-06-03,11
2020-06-04,11
2020-06-05,12
2020-06-06,11
2020-06-07,10
2020-06-08,12
2020-06-09,11
2020-06-10,10
2020-06-11,10
2020-06-12,10
2020-06-13,11
2020-06-14,14
